Config,Model,Layers (Base / Large),Base_Acc,Base_F1,Base_Spk_Acc,Base_Spk_Vote,Large_Acc,Large_F1,Large_Spk_Acc,Large_Spk_Vote
EN -> ZH,CLeaD,L7 / L14,0.4820384294068504,0.2030848329048843,0.5,"0/5 MDD, 5/5 HC",0.4791144527986633,0.0851063829787234,0.5,"0/5 MDD, 5/5 HC"
EN -> ZH,CLeaD w/o SupCon,L7 / L14,0.5037593984962406,0.2575,0.5,"0/5 MDD, 5/5 HC",0.4945697577276524,0.0888554216867469,0.5,"0/5 MDD, 5/5 HC"
ZH -> EN,LR,L7 / L14,0.5501655629139073,0.3914893617021276,0.0,-,0.5064569536423841,0.4172043010752688,0.0,-
ZH -> EN,SVM-Linear,L7 / L14,0.5526490066225166,0.3987538940809969,0.0,-,0.5004966887417218,0.4221413522313733,0.0,-
ZH -> EN,SVM-RBF,L7 / L14,0.5642384105960265,0.3949425287356322,0.0,-,0.525,0.4071089067989254,0.0,-
ZH -> EN,GRU,L7 / L14,0.6521739130434783,0.3333333333333333,0.6521739130434783,-,0.6521739130434783,0.0,0.6521739130434783,-
ZH -> EN,CLeaD,L7 / L14,0.5288079470198676,0.3543557168784029,0.0,-,0.4920529801324503,0.4058869093725794,0.0,-
ZH -> EN,CLeaD w/o SupCon,L7 / L14,0.5448675496688742,0.3767853094536386,0.0,-,0.5182119205298014,0.4932079414838035,0.0,-
ZH -> ZH,LR,L7 / L14,0.5609857978279031,0.4959232613908872,0.8,"3/5 MDD, 5/5 HC",0.4870509607351712,0.4061895551257253,0.7,"3/5 MDD, 4/5 HC"
ZH -> ZH,SVM-Linear,L7 / L14,0.5555555555555556,0.4904214559386973,0.8,"3/5 MDD, 5/5 HC",0.4778613199665831,0.3926141885325558,0.7,"3/5 MDD, 4/5 HC"
ZH -> ZH,SVM-RBF,L7 / L14,0.5317460317460317,0.4414549078226208,0.7,"2/5 MDD, 5/5 HC",0.4511278195488721,0.3163371488033298,0.5,"1/5 MDD, 4/5 HC"
ZH -> ZH,GRU,L7 / L14,0.4,0.25,0.4,"1/5 MDD, 3/5 HC",0.6,0.3333333333333333,0.6,"1/5 MDD, 5/5 HC"
ZH -> ZH,CLeaD,L7 / L14,0.5242272347535506,0.4739030023094688,0.7,"3/5 MDD, 4/5 HC",0.4728487886382623,0.3861867704280156,0.7,"3/5 MDD, 4/5 HC"
ZH -> ZH,CLeaD w/o SupCon,L7 / L14,0.5371762740183793,0.487037037037037,0.7,"3/5 MDD, 4/5 HC",0.5154553049289892,0.4449760765550239,0.7,"3/5 MDD, 4/5 HC"
MIX -> EN,LR,L7 / L14,0.6662251655629139,0.5645788336933045,0.0,-,0.668046357615894,0.5722210369106038,0.0,-
MIX -> EN,SVM-Linear,L7 / L14,0.6900662251655629,0.6035578144853876,0.0,-,0.6748344370860927,0.5873949579831933,0.0,-
