Layer,Config,Model,Acc,F1,AUC,Speaker_Vote,Speaker_F1,Speaker_Acc
16,EN -> ZH,GRU,0.5,0.6153846153846154,0.64,"4/5 MDD, 1/5 HC",0.6153846153846154,0.5
16,EN -> ZH,CLeaD,0.4853801169590643,0.004846526655896607,0.43785656413265167,"0/5 MDD, 5/5 HC",0.0,0.5
16,EN -> ZH,CLeaD w/o SupCon,0.48621553884711777,0.0,0.3438849775095689,"0/5 MDD, 5/5 HC",0.0,0.5
16,ZH -> EN,LR,0.5024834437086093,0.4448549787548494,0.5126204819672691,-,0.0,0.0
16,ZH -> EN,SVM-Linear,0.48841059602649006,0.41030534351145037,0.48323117386618397,-,0.0,0.0
16,ZH -> EN,SVM-RBF,0.525,0.393830551447285,0.5188503409474463,-,0.0,0.0
16,ZH -> EN,GRU,0.6956521739130435,0.0,0.5196078431372548,-,0.0,0.6956521739130435
16,ZH -> EN,CLeaD,0.4637417218543046,0.453148742191457,0.48409397453159053,-,0.0,0.0
16,ZH -> EN,CLeaD w/o SupCon,0.49321192052980134,0.3629552549427679,0.48950831286621865,-,0.0,0.0
16,ZH -> ZH,LR,0.49206349206349204,0.3895582329317269,0.4574742268041237,"2/5 MDD, 4/5 HC",0.5,0.6
16,ZH -> ZH,SVM-Linear,0.48370927318295737,0.3776435045317221,0.44572053194758754,"2/5 MDD, 4/5 HC",0.5,0.6
16,ZH -> ZH,SVM-RBF,0.45614035087719296,0.3225806451612903,0.4153947699270807,"1/5 MDD, 4/5 HC",0.2857142857142857,0.5
16,ZH -> ZH,GRU,0.5,0.2857142857142857,0.28,"1/5 MDD, 4/5 HC",0.2857142857142857,0.5
16,ZH -> ZH,CLeaD,0.49081035923141186,0.49607275733774286,0.4450084513731735,"3/5 MDD, 4/5 HC",0.6666666666666666,0.7
16,ZH -> ZH,CLeaD w/o SupCon,0.4678362573099415,0.3473360655737705,0.43413935685748606,"3/5 MDD, 4/5 HC",0.6666666666666666,0.7
16,MIX -> EN,LR,0.6379139072847683,0.519234996702572,0.6731178821034498,-,0.0,0.0
16,MIX -> EN,SVM-Linear,0.6536423841059603,0.5416301489921121,0.6973151037814346,-,0.0,0.0
16,MIX -> EN,SVM-RBF,0.6852649006622517,0.5134374200153571,0.7111519120171365,-,0.0,0.0
16,MIX -> EN,GRU,0.34782608695652173,0.4,0.49019607843137253,-,0.4,0.34782608695652173
16,MIX -> EN,CLeaD,0.676158940397351,0.372674791533034,0.6869647194342731,-,0.0,0.0
16,MIX -> EN,CLeaD w/o SupCon,0.6524834437086092,0.6090519649841684,0.7352155318208264,-,0.0,0.0
16,MIX -> ZH,LR,0.4473684210526316,0.34146341463414637,0.40479353504875254,"1/5 MDD, 4/5 HC",0.2857142857142857,0.5
16,MIX -> ZH,SVM-Linear,0.43609022556390975,0.3256743256743257,0.4034140753778672,"1/5 MDD, 4/5 HC",0.2857142857142857,0.5
16,MIX -> ZH,SVM-RBF,0.45363408521303256,0.28210757409440174,0.4107053055066633,"0/5 MDD, 4/5 HC",0.0,0.4
16,MIX -> ZH,GRU,0.5,0.6666666666666666,0.44000000000000006,"5/5 MDD, 0/5 HC",0.6666666666666666,0.5
16,MIX -> ZH,CLeaD,0.46115288220551376,0.24561403508771928,0.4516015701394127,"0/5 MDD, 5/5 HC",0.0,0.5
16,MIX -> ZH,CLeaD w/o SupCon,0.48078529657477026,0.49203105843890477,0.45211982789931,"3/5 MDD, 4/5 HC",0.6666666666666666,0.7
18,EN -> EN,LR,0.6986754966887417,0.614570097416349,0.7562504842918701,-,0.0,0.0
18,EN -> EN,SVM-Linear,0.7001655629139073,0.6252845023794744,0.7663364109522016,-,0.0,0.0
18,EN -> EN,SVM-RBF,0.7170529801324503,0.5661335364305662,0.7481521093754011,-,0.0,0.0
18,EN -> EN,GRU,0.5652173913043478,0.375,0.5882352941176471,-,0.375,0.5652173913043478
18,EN -> EN,CLeaD,0.7061258278145696,0.3707904998227579,0.7366886148637637,-,0.0,0.0
18,EN -> EN,CLeaD w/o SupCon,0.6915562913907285,0.3779632721202003,0.7108654858362313,-,0.0,0.0
18,EN -> ZH,LR,0.44360902255639095,0.10242587601078167,0.3466047830581398,"0/5 MDD, 5/5 HC",0.0,0.5
18,EN -> ZH,SVM-Linear,0.45864661654135336,0.0703012912482066,0.33258388511720166,"0/5 MDD, 5/5 HC",0.0,0.5
18,EN -> ZH,SVM-RBF,0.47201336675020883,0.07331378299120235,0.40511412846087225,"0/5 MDD, 5/5 HC",0.0,0.5
18,EN -> ZH,GRU,0.6,0.7142857142857143,0.6799999999999999,"5/5 MDD, 1/5 HC",0.7142857142857143,0.6
18,EN -> ZH,CLeaD,0.48663324979114453,0.008071025020177562,0.3998023356522225,"0/5 MDD, 5/5 HC",0.0,0.5
18,EN -> ZH,CLeaD w/o SupCon,0.48579782790309106,0.011244979919678716,0.3869569468890565,"0/5 MDD, 5/5 HC",0.0,0.5
18,ZH -> EN,LR,0.4913907284768212,0.428996282527881,0.4895666965271034,-,0.0,0.0
18,ZH -> EN,SVM-Linear,0.49354304635761587,0.4291845493562232,0.486298524851441,-,0.0,0.0
18,ZH -> EN,SVM-RBF,0.5198675496688742,0.4035376388317565,0.5110734940448068,-,0.0,0.0
18,ZH -> EN,GRU,0.6956521739130435,0.0,0.5,-,0.0,0.6956521739130435
18,ZH -> EN,CLeaD,0.48062913907284766,0.38766347843060706,0.46709877739360767,-,0.0,0.0
18,ZH -> EN,CLeaD w/o SupCon,0.5054635761589404,0.4169431973453055,0.5157757666258219,-,0.0,0.0
18,ZH -> ZH,LR,0.5066833751044277,0.41097256857855363,0.46970776408795023,"3/5 MDD, 4/5 HC",0.6666666666666666,0.7
18,ZH -> ZH,SVM-Linear,0.49582289055973267,0.3888607594936709,0.458730058950074,"3/5 MDD, 4/5 HC",0.6666666666666666,0.7
18,ZH -> ZH,SVM-RBF,0.47076023391812866,0.34992303745510517,0.4374905707819965,"3/5 MDD, 4/5 HC",0.6666666666666666,0.7
18,ZH -> ZH,GRU,0.4,0.0,0.43999999999999995,"0/5 MDD, 4/5 HC",0.0,0.4
18,ZH -> ZH,CLeaD,0.47451963241436923,0.28846153846153844,0.47958015533763587,"0/5 MDD, 4/5 HC",0.0,0.4
18,ZH -> ZH,CLeaD w/o SupCon,0.45112781954887216,0.22614840989399293,0.4300125024446121,"0/5 MDD, 4/5 HC",0.0,0.4
18,MIX -> EN,LR,0.6377483443708609,0.5184859154929577,0.6604273755613159,-,0.0,0.0
18,MIX -> EN,SVM-Linear,0.643046357615894,0.5395130286202477,0.6747184779272153,-,0.0,0.0
18,MIX -> EN,SVM-RBF,0.6672185430463576,0.4846153846153846,0.6806976095293596,-,0.0,0.0
18,MIX -> EN,GRU,0.34782608695652173,0.4,0.47058823529411764,-,0.4,0.34782608695652173
18,MIX -> EN,CLeaD,0.5970198675496688,0.5859135760462743,0.7249081890068938,-,0.0,0.0
18,MIX -> EN,CLeaD w/o SupCon,0.6655629139072847,0.3655778894472362,0.6701978633012844,-,0.0,0.0
18,MIX -> ZH,LR,0.45321637426900585,0.34320120421475164,0.41437571592210765,"1/5 MDD, 4/5 HC",0.2857142857142857,0.5
18,MIX -> ZH,SVM-Linear,0.4394319131161236,0.3256281407035176,0.4037367641717654,"1/5 MDD, 4/5 HC",0.2857142857142857,0.5
18,MIX -> ZH,SVM-RBF,0.4615705931495405,0.29754768392370573,0.4283065124465678,"0/5 MDD, 4/5 HC",0.0,0.4
18,MIX -> ZH,GRU,0.5,0.6666666666666666,0.4,"5/5 MDD, 0/5 HC",0.6666666666666666,0.5
18,MIX -> ZH,CLeaD,0.4949874686716792,0.5126964933494559,0.46664920515184527,"3/5 MDD, 4/5 HC",0.6666666666666666,0.7
18,MIX -> ZH,CLeaD w/o SupCon,0.4715956558061821,0.23841059602649006,0.4665758667895958,"0/5 MDD, 5/5 HC",0.0,0.5
